Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Media,Best 5k
7996042104,"Oct 21, 2022, 11:20:00 PM",Afternoon Treadmill Run,Run,First run back from covid!!!,1609,5.00,,,FALSE,,,,,,1609.0,1609.0,5000.0,,3.10752010345459,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.10752010345459,0.0,,,,,,,,,,,,1530
8066016832,"Nov 4, 2022, 7:21:32 AM",Afternoon Run,Run,"First run after 4 weeks of being sick! I didnt run a lot but it was rly tiring

Also the gps on my watch isnt really working so the timings off😀",261,0.93,,,FALSE,,,activities/8633363220.fit.gz,,,261.0,208.0,929.8499755859380,8.55666732788086,4.470432758331300,2.7571427822113000,22.0,20.100000381469700,25.399999618530300,17.0327205657959,0.16131635010242500,,,124.0,84.5582504272461,,,,,24.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,962.0999755859380,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.562643527984620,0.0,,,,,,,,,,,,1540
8085856695,"Nov 8, 2022, 7:28:23 AM",Afternoon Run,Run,,326,0.98,,,FALSE,,,activities/8655958201.fit.gz,,,326.0,326.0,988.3900146484380,5.989997863769530,3.0318713188171400,0.0,,,,0.0,0.0,,,93.0,86.94196319580080,,,,,36.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0318713188171400,0.0,,,,,,,,,,,,1480
8090542738,"Nov 9, 2022, 5:40:00 AM",PE,Run,,59,0.27,,,FALSE,,,activities/8661192893.fit.gz,,,59.0,59.0,273.94000244140600,5.211999893188480,4.643050670623780,0.0,,,,0.0,0.0,,,86.0,82.62712097167970,,,,,5.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.643050670623780,0.0,,,,,,,,,,,,
8095603424,"Nov 10, 2022, 7:37:11 AM",Afternoon Run,Run,,1317,2.20,,,FALSE,,,activities/8666847788.fit.gz,,,1317.0,480.0,2205.639892578130,6.702000617980960,4.595083236694340,8.956666946411130,45.0,20.200000762939500,25.0,21.13969612121580,-0.027202989906072600,,,100.0,85.66666412353520,,,,,69.0,,,,,,,,,,,,,,,,0.0,,1.0,2254.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.6747455596923800,0.0,,,,,,,,,,,,
8101562686,"Nov 11, 2022, 10:10:15 AM",Evening Run,Run,,1173,3.28,,,FALSE,,,activities/8673547953.fit.gz,,,1173.0,970.0,3281.889892578130,5.881982326507570,3.383391857147220,20.70571517944340,103.0,17.700000762939500,35.29999923706060,20.76970672607420,0.0,,,88.0,83.08631896972660,,,,,132.0,,,,,,,,,,,,,,,,0.0,,1.0,3326.699951171880,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7978601455688500,1461.5999755859400,,,,,,,,,,,,
8108546138,"Nov 12, 2022, 10:07:04 AM",Evening Run,Run,,1408,3.85,,,FALSE,,,activities/8681511091.fit.gz,,,1408.0,1080.0,3854.8701171875,6.531424522399900,3.569324254989620,15.712499618530300,134.0,18.600000381469700,34.599998474121100,11.131757736206100,0.0,,,113.0,83.361083984375,,,,,138.0,,,,,,,,,,,,,,,,0.0,,1.0,3885.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7378339767456100,2437.699951171880,,,,,,,,,,,,
8109392332,"Nov 13, 2022, 12:11:28 AM",Warmup,Run,,245,0.58,,,FALSE,,,activities/8682486918.fit.gz,,,245.0,160.0,584.0599975585940,4.588327884674070,3.6503748893737800,13.404762268066400,51.0,17.700000762939500,31.799999237060500,44.25776290893560,0.7704687714576720,,,86.0,84.80000305175780,,,,,22.0,,,,,,,,,,,,,,,,0.0,,1.0,644.2999877929690,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.383918285369870,0.0,,,,,,,,,,,,
8109393002,"Nov 13, 2022, 12:36:11 AM",Morning Run,Run,with [strava://athletes/107262903/10]Uma Laroia,1252,3.54,,,FALSE,,,activities/8682487641.fit.gz,,,1252.0,1161.0,3539.219970703130,4.371996879577640,3.0484237670898400,5.826666831970220,100.0,19.100000381469700,31.399999618530300,2.7649729251861600,-0.1751798391342160,,,117.0,83.56419372558590,,,,,166.0,,,,,,,,,,,,,,,,0.0,,1.0,3533.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.826853036880490,3539.199951171880,,,,,,,,,,,,
8142214676,"Nov 20, 2022, 1:45:49 AM",Morning Run,Run,Stopped 50 times + coffee break😢,3551,6.50,,,FALSE,,,activities/8719618195.fit.gz,,,3551.0,1881.0,6507.35986328125,5.823323726654050,3.459521532058720,42.85857009887700,200.0,15.300000190734900,42.099998474121100,40.0,0.08759313076734540,,,124.0,83.42857360839840,,,,,275.0,,,,,,,,,,,,,,,,0.0,,1.0,6612.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.832542896270750,4896.0,,,,,,,,,,,,
